日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/12/07,"160,145,529","7,222,837,669",45.00,46.90,43.85,44.45,+0.85,"59,121"
109/12/08,"128,621,244","5,440,150,970",42.75,43.10,41.50,42.05,-2.40,"50,988"
109/12/09,"71,558,474","3,058,964,502",42.40,43.30,42.25,43.00,+0.95,"28,033"
109/12/10,"70,029,350","2,917,901,105",42.30,42.40,40.60,41.75,-1.25,"29,401"
109/12/11,"58,679,847","2,454,138,844",42.60,42.75,40.70,41.75, 0.00,"23,199"
109/12/14,"37,370,105","1,554,219,024",41.80,42.30,40.80,41.45,-0.30,"17,616"
109/12/15,"42,878,109","1,742,110,297",41.65,41.70,40.05,40.05,-1.40,"17,332"
109/12/16,"30,186,385","1,230,361,501",40.90,41.25,40.35,40.50,+0.45,"12,519"
109/12/17,"37,882,117","1,550,101,718",40.75,41.25,40.10,41.20,+0.70,"16,108"
109/12/18,"47,405,515","1,955,897,416",41.95,41.95,40.70,40.75,-0.45,"18,435"
109/12/21,"39,827,137","1,614,732,777",40.60,41.10,39.90,40.55,-0.20,"17,553"
109/12/22,"63,391,548","2,536,283,108",40.25,41.15,38.85,38.95,-1.60,"26,816"
109/12/23,"37,817,190","1,495,887,121",39.00,40.10,38.80,40.10,+1.15,"14,810"
109/12/24,"55,460,752","2,233,987,569",40.20,40.90,39.50,40.35,+0.25,"21,737"
109/12/25,"31,054,824","1,261,757,224",40.70,41.10,40.20,40.40,+0.05,"13,102"
109/12/28,"163,549,676","7,016,738,488",41.00,44.10,40.95,43.80,+3.40,"63,548"
109/12/29,"101,038,802","4,302,798,906",43.80,43.80,41.80,41.85,-1.95,"42,175"
109/12/30,"74,973,613","3,186,328,861",42.10,43.25,41.40,42.35,+0.50,"30,195"
109/12/31,"70,937,553","3,041,020,178",43.15,43.85,41.90,42.30,-0.05,"26,644"
110/01/04,"68,570,351","2,820,116,810",42.55,42.70,40.70,40.90,-1.40,"28,943"
110/01/05,"41,125,504","1,670,120,154",40.90,41.25,40.20,40.50,-0.40,"19,326"
110/01/06,"80,952,893","3,198,808,111",40.65,40.95,38.70,39.20,-1.30,"35,344"
110/01/07,"36,115,151","1,423,020,723",39.65,39.85,38.85,39.55,+0.35,"15,082"
110/01/08,"56,804,763","2,303,907,735",40.50,41.10,40.10,40.25,+0.70,"21,831"
110/01/11,"33,107,127","1,316,217,801",40.20,40.20,39.50,39.90,-0.35,"12,468"
110/01/12,"40,855,075","1,628,976,497",40.05,40.75,39.10,39.30,-0.60,"15,744"
110/01/13,"27,911,738","1,112,483,144",39.50,40.15,39.25,39.75,+0.45,"11,353"
110/01/14,"53,308,920","2,167,821,756",40.00,41.20,39.75,40.40,+0.65,"18,751"
110/01/15,"60,664,603","2,439,340,992",40.75,40.90,39.60,39.95,-0.45,"19,366"
110/01/18,"66,527,105","2,541,648,755",39.95,39.95,37.25,38.20,-1.75,"29,909"
110/01/19,"31,717,832","1,223,417,761",38.70,39.00,38.35,38.50,+0.30,"13,857"
110/01/20,"67,641,190","2,650,426,764",39.00,39.85,38.30,38.30,-0.20,"22,026"
110/01/21,"49,321,630","1,957,962,287",39.00,40.45,39.00,39.60,+1.30,"17,718"
110/01/22,"59,351,983","2,399,473,337",40.00,40.80,40.00,40.80,+1.20,"22,301"
110/01/25,"99,278,429","4,159,081,368",40.85,42.75,40.70,42.75,+1.95,"37,723"
110/01/26,"90,563,523","3,851,971,265",43.45,43.50,41.50,42.00,-0.75,"36,790"
110/01/27,"62,746,375","2,582,589,637",42.30,42.45,40.30,40.70,-1.30,"24,194"
110/01/28,"53,511,262","2,129,269,105",39.60,40.45,39.20,39.60,-1.10,"20,493"
110/01/29,"38,520,625","1,538,572,272",40.50,40.70,39.10,39.30,-0.30,"14,680"
110/02/01,"32,858,235","1,301,611,510",39.35,40.45,38.60,40.45,+1.15,"13,662"
110/02/02,"46,017,091","1,866,206,540",40.70,41.15,39.95,40.25,-0.20,"16,536"
110/02/03,"22,666,931","915,505,711",40.60,40.90,39.90,40.25, 0.00,"9,043"
110/02/04,"16,636,458","667,372,074",40.25,40.55,39.90,40.00,-0.25,"6,896"
110/02/05,"36,481,004","1,484,325,825",40.40,41.00,40.10,40.95,+0.95,"14,280"
110/02/17,"62,182,649","2,616,346,956",43.00,43.00,41.35,41.65,+0.70,"22,282"
